#This is a composite table that regroup several relevant informations for the analysis of the rotation and its link to stellar activity,,,,,,,,,,,,,,,,,,,,,,
"#  For Teff and Metallicity, we keep them in this order of priority: Pinsonneault2012, Silva-Aguirre2015, Davies2015",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#Primary variables,,-,-,-,-,-,-,-,-,-,-,-,-,Secondary variables,-,-,-,-,-,-,-,-
KIC,Teff_SDSS,Tot_eTeff,random_eTeff,Teff_IRFM,Tot_eTeff,random_eTeff,Teff_KIC,logg_KIC,[Fe/H]_KIC,e_metal,Teff_corr,Quality_flag,Data Source,    Age/Gyr,err,M/Msun,err,  R/Rsun  ,err,rho/rhosun,err,source
9955598,5434,77,54,5578,128,127,5333,3.71,0.19,0,0,,Pinsonnault2012,6.69,-9999,0.921,-9999,0.893,-9999,1.306,-9999,Bellinger2019
9965715,7030,405,402,6111,168,166,6896,3.96,-0.31,0,1,,Pinsonnault2012,3.88,-9999,1.03,-9999,1.244,-9999,0.538,-9999,Bellinger2019
10068307,6332,45,39,6437,201,201,6052,4.13,-0.21,0,0,,Pinsonnault2012,3.98,-9999,1.271,-9999,2.024,-9999,0.1546,-9999,Bellinger2019
10079226,6078,50,35,5990,139,139,5843,4.39,-0.15,0,0,,Pinsonnault2012,2.56,-9999,1.153,-9999,1.16,-9999,0.744,-9999,Bellinger2019
10162436,6346,108,106,6262,192,192,6095,4.18,-0.23,0,0,,Pinsonnault2012,3.29,-9999,1.379,-9999,2.019,-9999,0.1678,-9999,Bellinger2019
10162509,4875,65,17,4754,114,111,4627,4.31,-0.7,0,0,,Pinsonnault2012,5.07,-9999,1.078,-9999,1.202,-9999,0.659,-9999,Bellinger2019
10514430,5859,88,75,-9999,0,0,5550,4.33,-0.12,0,1,,Pinsonnault2012,7.01,-9999,1.042,-9999,1.578,-9999,0.2664,-9999,Bellinger2019
10516096,6123,48,35,6102,183,182,5814,4.19,-0.31,0,0,,Pinsonnault2012,6.66,-9999,1.108,-9999,1.422,-9999,0.3861,-9999,Bellinger2019
10586004,5770,83,0,-9999,0,0,-9999,0,0.29,0.1,0,,Silva-Aguirre2015,6.13,-9999,1.154,-9999,1.643,-9999,0.2605,-9999,Bellinger2019
10644253,6069,50,36,6185,181,181,5831,4.28,-0.15,0,0,,Pinsonnault2012,1.28,-9999,1.128,-9999,1.12,-9999,0.804,-9999,Bellinger2019
10666592,6350,80,0,-9999,0,0,-9999,0,0.26,0.08,0,,Silva-Aguirre2015,2.02,-9999,1.556,-9999,2.009,-9999,0.1918,-9999,Bellinger2019
10730618,6422,54,40,6591,144,142,6197,4.22,-0.17,0,0,,Pinsonnault2012,4.4,-9999,1.249,-9999,1.716,-9999,0.251,-9999,Bellinger2019
10963065,6316,45,37,6165,143,142,6043,4.16,-0.25,0,0,,Pinsonnault2012,4.57,-9999,1.065,-9999,1.225,-9999,0.584,-9999,Bellinger2019
11081729,6605,51,42,6653,255,254,6359,3.98,-0.1,0,0,,Pinsonnault2012,1.66,-9999,1.363,-9999,1.444,-9999,0.4526,-9999,Bellinger2019
11133306,6194,67,50,6197,179,177,5949,4.36,-0.13,0,0,,Pinsonnault2012,4.58,-9999,1.081,-9999,1.198,-9999,0.634,-9999,Bellinger2019
11253226,6682,51,47,6955,162,161,6468,4.18,-0.34,0,0,,Pinsonnault2012,1.34,-9999,1.42,-9999,1.599,-9999,0.3468,-9999,Bellinger2019
11295426,5796,78,63,5743,237,237,5658,4.41,0.15,0,0,,Pinsonnault2012,6.31,-9999,1.099,-9999,1.251,-9999,0.5673,-9999,Bellinger2019
11401755,5911,66,0,-9999,0,0,-9999,0,-0.2,0.06,0,,Silva-Aguirre2015,6.94,-9999,1.043,-9999,1.601,-9999,0.2552,-9999,Bellinger2019
11772920,5412,57,28,5440,117,117,5175,4.38,-0.54,0,0,,Pinsonnault2012,9.9,-9999,0.823,-9999,0.845,-9999,1.373,-9999,Bellinger2019
11807274,6418,54,41,6098,164,163,6143,4.24,-0.35,0,0,,Pinsonnault2012,2.01,-9999,1.306,-9999,1.597,-9999,0.3223,-9999,Bellinger2019
11853905,5959,74,50,6164,170,168,5701,4.34,-0.09,0,0,,Pinsonnault2012,6.6,-9999,1.163,-9999,1.588,-9999,0.2911,-9999,Bellinger2019
11904151,5790,58,34,5733,139,139,5491,4.47,-0.81,0,0,,Pinsonnault2012,11.6,-9999,0.88,-9999,1.041,-9999,0.784,-9999,Bellinger2019
12009504,6270,61,47,6199,190,189,6056,3.7,0.13,0,0,,Pinsonnault2012,3.8,-9999,1.197,-9999,1.411,-9999,0.4266,-9999,Bellinger2019
12069127,6476,66,48,6578,142,140,6237,4.09,-0.51,0,0,,Pinsonnault2012,2.31,-9999,1.537,-9999,2.297,-9999,0.1267,-9999,Bellinger2019
12069424,5825,50,0,-9999,0,0,-9999,0,0.096,0.026,0,,Davies2015,6.92,-9999,1.056,-9999,1.213,-9999,0.5967,-9999,Bellinger2019
12069449,5750,50,0,-9999,0,0,-9999,0,0.052,0.021,0,,Davies2015,7.08,-9999,1,-9999,1.101,-9999,0.758,-9999,Bellinger2019
12258514,5990,85,76,6246,142,142,5808,4.3,0.09,0,0,,Pinsonnault2012,4.4,-9999,1.252,-9999,1.614,-9999,0.2999,-9999,Bellinger2019
12317678,6549,48,42,6413,226,226,6273,4.14,-0.32,0,0,,Pinsonnault2012,2.63,-9999,1.288,-9999,1.775,-9999,0.2301,-9999,Bellinger2019
3424541,6475,66,41,6550,177,175,6207,3.58,-0.12,0,0,,Pinsonnault2012,2.28,0.13,1.64,0.04,2.526,0.13,-9999,-9999,Metcalfe2014
3733735,6711,66,62,6953,175,174,6442,4.03,-0.62,0,0,,Pinsonnault2012,0.12,0.06,1.32,0.04,1.367,0.023,-9999,-9999,Metcalfe2014
4450844,5968,59,36,5758,144,143,5701,4.2,-0.38,0,0,,Pinsonnault2012,6.4,1.6,1.13,0.1,1.59,0.06,0.2823,0.0083,Chaplin2014 (SDSS average error)
5905822,6095,64,36,6280,150,147,5830,3.89,-0.06,0,0,,Pinsonnault2012,4.4,1.8,1.187,0.85,1.477,0.022,-9999,-9999,Bonomo2023
8013439,6547,229,0,-9999,0,0,-9999,0,,,0,,Huber2014 (KIC),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NONE
9206432,6494,46,41,7030,173,173,6301,4.27,-0.06,0,1,,Pinsonnault2012,0.19,0.07,1.4,0.03,1.479,0.014,-9999,-9999,Metcalfe2014
9451706,6299,54,38,6209,161,160,6089,4.47,-0.15,0,0,,Pinsonnault2012,2.63,0.55,1.25,0.04,1.37,0.03,-9999,-9999,Morton2016
9579208,6422,56,40,6460,133,132,6228,4.16,-0.41,0,0,,Pinsonnault2012,3.6,1.1,1.33,0.13,1.85,0.08,0.2085,0.0071,Chaplin2014 (SDSS average error)
9696358,6321,137,130,6241,141,139,6011,4.29,-0.02,0,0,,Pinsonnault2012,3.8,1,1.37,0.15,2.1,0.09,0.1489,0.0081,Chaplin2014 (SDSS average error)
9697131,6491,69,60,6355,155,154,6214,4.15,-0.15,0,0,,Pinsonnault2012,3.2,0.8,1.39,0.14,1.9,0.07,0.2026,0.008,Chaplin2014 (SDSS average error)
11127479,5998,57,36,6138,171,171,5740,4.44,-0.29,0,0,,Pinsonnault2012,5.1,2.4,1.14,0.13,1.36,0.07,0.4528,0.022,Chaplin2014 (SDSS average error)
,,,,,,,,,,,,,,,,,,,,,,
